"Police Force Area
 code","Police Force Area
 name","Community Safety
 Partnership code","Community Safety
 Partnership name",Local Authority code,Local Authority name,"Total recorded crime
 (excluding fraud)","Violence against
 the person",Homicide,"Death or serious
 injury caused by
 illegal driving",Violence with injury,Violence without injury,Stalking and harassment,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Column1
E23000020,Lincolnshire,,,,,"53,980","20,963",8,0,"5,836","8,520","6,599","2,047",306,"15,825","3,812","2,541","1,271","2,604",162,942,"4,250","4,055","6,231","1,827",615,"4,840","1,326",
E23000020,Lincolnshire,E22000173,Boston,E07000136,Boston,"5,681","2,115",3,0,625,928,559,193,35,"1,812",249,176,73,230,20,128,781,404,562,262,98,442,162,
E23000020,Lincolnshire,E22000174,East Lindsey,E07000137,East Lindsey,"10,445","4,269",1,0,"1,223","1,752","1,293",366,60,"2,973","1,025",668,357,373,25,78,568,904,"1,208",288,102,904,275,
E23000020,Lincolnshire,E22000175,Lincoln,E07000138,Lincoln,"13,323","4,658",1,0,"1,300","2,002","1,355",470,90,"4,036",766,564,202,479,67,398,"1,485",841,"1,541",559,153,"1,517",299,
E23000020,Lincolnshire,E22000176,North Kesteven,E07000139,North Kesteven,"4,850","2,049",0,0,511,740,798,216,19,"1,342",329,221,108,275,2,51,313,372,512,159,50,373,130,
E23000020,Lincolnshire,E22000177,South Holland,E07000140,South Holland,"5,833","2,504",1,0,686,"1,003",814,198,33,"1,559",371,223,148,282,17,136,338,415,685,182,72,462,138,
E23000020,Lincolnshire,E22000178,South Kesteven,E07000141,South Kesteven,"8,334","3,149",1,0,862,"1,270","1,016",326,45,"2,497",526,327,199,649,24,120,540,638,"1,031",281,86,736,183,
E23000020,Lincolnshire,,Unassigned Lincolnshire,,,8,4,0,0,1,1,2,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,
E23000020,Lincolnshire,E22000179,West Lindsey,E07000142,West Lindsey,"5,506","2,215",1,0,628,824,762,277,24,"1,605",545,361,184,316,7,31,225,481,690,96,54,406,139,
E23000004,Merseyside,,,,,"134,663","50,794",11,36,"14,320","21,085","15,342","3,368","1,192","32,998","8,007","6,153","1,854","7,450","1,671","1,603","6,487","7,780","14,789","12,919","1,434","14,350","2,819",
E23000004,Merseyside,E22000181,Knowsley,E08000011,Knowsley,"13,226","5,340",2,3,"1,422","2,259","1,654",298,85,"2,686",798,669,129,733,57,68,355,675,"1,737","1,187",156,"1,410",327,
E23000004,Merseyside,E22000182,Liverpool,E08000012,Liverpool,"59,342","20,380",4,13,"6,068","8,709","5,586","1,439",690,"15,706","3,582","2,645",937,"3,397","1,194",929,"2,817","3,787","5,752","7,371",694,"6,164","1,146",
E23000004,Merseyside,E22000183,Sefton,E08000014,Sefton,"21,112","8,422",3,8,"2,338","3,378","2,695",498,150,"5,342","1,436","1,127",309,"1,228",154,293,"1,094","1,137","2,296","1,703",176,"2,135",390,
E23000004,Merseyside,E22000184,St. Helens,E08000013,St. Helens,"16,803","6,682",1,7,"1,770","2,716","2,188",473,91,"4,106","1,130",883,247,980,99,136,891,870,"1,957","1,068",174,"1,852",400,
E23000004,Merseyside,,Unassigned Merseyside,,,290,116,0,0,25,26,65,25,0,29,5,3,2,12,1,0,2,9,17,66,2,17,18,
E23000004,Merseyside,E22000185,Wirral,E08000015,Wirral,"23,890","9,854",1,5,"2,697","3,997","3,154",635,176,"5,129","1,056",826,230,"1,100",166,177,"1,328","1,302","3,030","1,524",232,"2,772",538,
E23000001,Metropolitan Police,,,,,"822,927","221,192",130,0,"71,807","91,096","58,159","18,991","31,597","371,965","66,291","49,986","16,305","114,792","36,502","21,752","37,654","94,974","52,105","54,031","6,745","54,914","11,387",
E23000001,Metropolitan Police,E22000186,Barking and Dagenham,E09000002,Barking and Dagenham,"19,247","6,385",3,0,"2,033","2,536","1,813",621,772,"6,935","1,315","1,010",305,"2,360",504,178,787,"1,791","1,316","1,531",177,"1,183",327,
E23000001,Metropolitan Police,E22000187,Barnet,E09000003,Barnet,"28,171","7,405",5,0,"2,305","2,951","2,144",563,"1,155","13,672","2,931","2,341",590,"5,416",618,226,"1,465","3,016","1,946","1,079",174,"1,825",352,
E23000001,Metropolitan Police,E22000188,Bexley,E09000004,Bexley,"16,245","5,312",5,0,"1,772","1,940","1,595",370,354,"6,291","1,306","1,059",247,"2,575",135,84,829,"1,362","1,471",785,119,"1,297",246,
E23000001,Metropolitan Police,E22000189,Brent,E09000005,Brent,"28,943","8,744",12,0,"2,803","3,908","2,021",610,"1,108","11,666","2,308","1,841",467,"4,533",666,376,"1,030","2,753","2,029","2,119",253,"2,038",376,
E23000001,Metropolitan Police,E22000190,Bromley,E09000006,Bromley,"22,742","6,521",2,0,"2,130","2,475","1,914",494,531,"9,975","2,080","1,646",434,"3,751",328,150,"1,738","1,928","1,812","1,280",165,"1,624",340,
E23000001,Metropolitan Police,E22000191,Camden,E09000007,Camden,"32,643","6,493",1,0,"2,160","2,792","1,540",597,"1,503","17,943","2,470","1,460","1,010","3,276","3,613","1,467","1,242","5,875","1,488","2,164",191,"1,991",273,
E23000001,Metropolitan Police,E22000193,Croydon,E09000008,Croydon,"33,829","10,685",7,0,"3,519","4,335","2,824","1,013",997,"12,741","2,514","1,947",567,"5,390",428,231,"1,343","2,835","2,443","2,740",385,"2,323",502,
E23000001,Metropolitan Police,E22000194,Ealing,E09000009,Ealing,"29,822","8,857",5,0,"2,732","3,872","2,248",718,952,"12,329","2,335","1,876",459,"4,995",531,522,"1,144","2,802","2,069","2,067",216,"2,158",456,
E23000001,Metropolitan Police,E22000195,Enfield,E09000010,Enfield,"29,173","8,353",7,0,"2,680","3,288","2,378",639,"1,359","13,016","2,750","2,221",529,"5,845",600,233,"1,003","2,585","1,831","1,481",240,"1,825",429,
E23000001,Metropolitan Police,E22000196,Greenwich,E09000011,Greenwich,"26,423","8,416",5,0,"2,737","3,431","2,243",729,830,"9,828","1,749","1,327",422,"3,464",411,405,"1,454","2,345","2,040","1,890",234,"1,975",481,
E23000001,Metropolitan Police,E22000197,Hackney,E09000012,Hackney,"31,064","7,821",6,0,"2,595","3,299","1,921",693,"1,712","14,673","2,624","2,003",621,"3,183","2,471","2,097",872,"3,426","1,721","1,682",297,"2,146",319,
E23000001,Metropolitan Police,E22000198,Hammersmith and Fulham,E09000013,Hammersmith and Fulham,"20,202","5,138",2,0,"1,692","2,159","1,285",438,627,"9,725","1,577","1,125",452,"2,702",679,997,"1,179","2,591","1,223","1,144",143,"1,529",235,
E23000001,Metropolitan Police,E22000199,Haringey,E09000014,Haringey,"29,378","7,544",4,0,"2,497","3,139","1,904",713,"1,887","12,930","2,003","1,593",410,"5,004","1,296",557,"1,334","2,736","1,725","2,051",294,"1,823",411,
E23000001,Metropolitan Police,E22000200,Harrow,E09000015,Harrow,"16,069","4,648",1,0,"1,307","2,026","1,314",390,582,"7,168","1,569","1,259",310,"2,992",314,150,668,"1,475","1,011",925,92,"1,009",244,
E23000001,Metropolitan Police,E22000201,Havering,E09000016,Havering,"17,318","5,156",1,0,"1,639","1,991","1,525",431,454,"7,433","1,498","1,231",267,"2,632",284,133,"1,271","1,615","1,194","1,067",144,"1,171",268,
E23000001,Metropolitan Police,E22000202,Hillingdon,E09000017,Hillingdon,"25,734","7,521",3,0,"2,359","3,104","2,055",481,579,"11,079","2,171","1,776",395,"4,248",342,273,"1,649","2,396","2,054","1,582",190,"1,823",425,
E23000001,Metropolitan Police,E22000203,Hounslow,E09000018,Hounslow,"25,194","7,993",3,0,"2,461","3,446","2,083",516,617,"10,299","1,889","1,437",452,"4,007",390,529,"1,052","2,432","1,752","1,663",208,"1,704",442,
E23000001,Metropolitan Police,E22000204,Islington,E09000019,Islington,"26,948","6,277",5,0,"2,105","2,490","1,677",544,"1,324","13,285","2,236","1,488",748,"2,771","2,357","1,309","1,168","3,444","1,481","1,584",189,"1,977",287,
E23000001,Metropolitan Police,E22000205,Kensington and Chelsea,E09000020,Kensington and Chelsea,"19,814","4,077",2,0,"1,270","1,761","1,044",372,761,"11,143","1,808","1,297",511,"2,988","1,025",725,"1,329","3,268",890,"1,099",128,"1,182",162,
E23000001,Metropolitan Police,E22000206,Kingston upon Thames,E09000021,Kingston upon Thames,"11,803","3,470",2,0,"1,116","1,384",968,412,247,"4,760",957,834,123,"1,184",404,428,629,"1,158",781,"1,064",91,824,154,
E23000001,Metropolitan Police,E22000207,Lambeth,E09000022,Lambeth,"32,192","9,108",6,0,"3,186","3,871","2,045","1,024","1,220","13,265","2,625","1,945",680,"3,202","1,340","1,166","1,072","3,860","1,999","2,363",382,"2,338",493,
E23000001,Metropolitan Police,E22000208,Lewisham,E09000023,Lewisham,"27,645","8,497",4,0,"2,789","3,265","2,439",736,"1,024","10,897","2,381","1,895",486,"3,799",538,514,"1,219","2,446","2,144","1,533",307,"2,136",371,
E23000001,Metropolitan Police,E22000209,Merton,E09000024,Merton,"13,827","4,085",2,0,"1,350","1,562","1,171",323,411,"5,761","1,166",990,176,"2,145",233,319,629,"1,269","1,002",960,103,971,211,
E23000001,Metropolitan Police,E22000210,Newham,E09000025,Newham,"33,443","9,149",6,0,"2,865","3,963","2,315",800,"1,831","13,777","1,934","1,435",499,"3,796","1,865",586,"1,869","3,727","2,077","3,009",320,"2,028",452,
E23000001,Metropolitan Police,E22000211,Redbridge,E09000026,Redbridge,"23,230","6,513",9,0,"1,995","2,699","1,810",481,765,"10,566","1,882","1,517",365,"4,249",823,188,"1,211","2,213","1,386","1,725",175,"1,333",286,
E23000001,Metropolitan Police,E22000212,Richmond upon Thames,E09000027,Richmond upon Thames,"12,554","3,012",1,0,896,"1,199",916,306,257,"6,428","1,428","1,171",257,"2,373",161,731,517,"1,218",953,531,58,867,142,
E23000001,Metropolitan Police,E22000213,Southwark,E09000028,Southwark,"34,042","8,448",5,0,"3,008","3,310","2,125",768,"1,848","15,738","2,698","1,969",729,"3,537","2,347","1,664","1,033","4,459","2,002","2,391",310,"2,191",346,
E23000001,Metropolitan Police,E22000214,Sutton,E09000029,Sutton,"13,292","4,170",2,0,"1,331","1,537","1,300",306,260,"5,607","1,177","1,017",160,"2,248",194,188,768,"1,032",978,722,110,932,207,
E23000001,Metropolitan Police,E22000215,Tower Hamlets,E09000030,Tower Hamlets,"32,306","8,351",3,0,"2,673","3,436","2,239",767,"1,186","14,123","2,892","2,137",755,"3,853","1,203","1,816",871,"3,488","2,050","2,877",268,"2,242",442,
E23000001,Metropolitan Police,,Unassigned Metropolitan police,,,"2,119",179,0,0,70,100,9,27,4,"1,024",7,0,7,118,36,16,150,697,55,53,22,106,649,
E23000001,Metropolitan Police,E22000216,Waltham Forest,E09000031,Waltham Forest,"23,845","6,403",6,0,"2,087","2,631","1,679",492,768,"10,869","2,006","1,552",454,"3,998",632,787,985,"2,461","1,595","1,800",215,"1,397",306,
E23000001,Metropolitan Police,E22000217,Wandsworth,E09000032,Wandsworth,"25,155","6,733",2,0,"2,253","2,872","1,606",631,830,"11,767","2,366","1,864",502,"3,952",548,"1,242",982,"2,677","1,493","1,419",176,"1,765",341,
E23000001,Metropolitan Police,E22000192,Westminster,E09000033,Westminster,"58,515","9,728",3,0,"3,392","4,324","2,009",986,"2,842","35,252","3,639","1,723","1,916","4,206","9,186","1,465","3,162","13,594","2,094","3,651",369,"3,181",412,
E23000024,Norfolk,,,,,"65,096","27,076",5,24,"7,126","12,351","7,570","2,782",395,"14,485","2,744","1,825",919,"2,031",496,966,"3,696","4,552","7,404","2,922",626,"7,140","2,266",
E23000024,Norfolk,E22000218,Breckland,E07000143,Breckland,"8,544","3,592",1,5,963,"1,699",924,394,36,"1,767",375,243,132,348,24,67,332,621,"1,020",471,84,833,347,
E23000024,Norfolk,E22000219,Broadland,E07000144,Broadland,"6,324","2,917",2,0,684,"1,446",785,297,12,"1,220",305,197,108,177,30,49,256,403,802,191,33,597,255,
E23000024,Norfolk,E22000220,Great Yarmouth,E07000145,Great Yarmouth,"10,464","4,557",0,6,"1,189","2,047","1,315",396,75,"2,088",360,266,94,276,84,105,542,721,"1,130",498,104,"1,347",269,
E23000024,Norfolk,E22000221,King's Lynn and West Norfolk,E07000146,King's Lynn and West Norfolk,"9,697","3,926",0,6,"1,089","1,698","1,133",434,52,"2,111",431,285,146,274,61,152,476,717,"1,180",564,96,994,340,
E23000024,Norfolk,E22000222,North Norfolk,E07000147,North Norfolk,"4,728","2,081",0,2,527,925,627,210,9,952,197,123,74,129,22,20,156,428,605,152,19,533,167,
E23000024,Norfolk,E22000223,Norwich,E07000148,Norwich,"17,963","6,962",1,0,"1,956","3,195","1,810",693,188,"4,741",742,517,225,569,238,521,"1,636","1,035","1,752",773,229,"2,032",593,
E23000024,Norfolk,E22000224,South Norfolk,E07000149,South Norfolk,"6,559","2,715",1,5,667,"1,213",829,295,20,"1,424",308,189,119,228,31,37,265,555,829,233,42,743,258,
E23000024,Norfolk,,Unassigned Norfolk,,,817,326,0,0,51,128,147,63,3,182,26,5,21,30,6,15,33,72,86,40,19,61,37,
W15000001,North Wales,,,,,"57,808","26,385",4,11,"6,405","10,843","9,122","2,365",215,"11,648","2,525","1,744",781,"1,450",147,356,"3,217","3,953","6,970","1,844",356,"6,665","1,360",
W15000001,North Wales,W14000003,Conwy,W06000003,Conwy,"10,077","4,755",1,0,"1,127","2,016","1,611",452,29,"1,922",396,246,150,284,19,80,494,649,"1,190",297,60,"1,164",208,
W15000001,North Wales,W14000004,Denbighshire,W06000004,Denbighshire,"9,469","4,530",0,4,"1,114","2,019","1,393",356,58,"1,788",407,266,141,218,28,54,496,585,"1,077",291,67,"1,086",216,
W15000001,North Wales,W14000005,Flintshire,W06000005,Flintshire,"11,464","5,269",0,0,"1,262","2,111","1,896",425,35,"2,428",516,361,155,356,22,77,635,822,"1,251",290,68,"1,438",260,
W15000001,North Wales,W14000002,Gwynedd,W06000002,Gwynedd,"8,958","3,865",2,3,952,"1,495","1,413",444,29,"1,806",368,229,139,213,24,64,442,695,"1,162",312,50,"1,090",200,
W15000001,North Wales,W14000001,Isle of Anglesey,W06000001,Isle of Anglesey,"4,530","2,212",0,2,510,844,856,190,3,783,163,106,57,77,13,17,188,325,561,147,26,484,124,
W15000001,North Wales,,Unassigned North Wales,,,131,64,0,0,7,29,28,38,0,3,0,0,0,0,0,0,0,3,6,1,0,14,5,
W15000001,North Wales,W14000006,Wrexham,W06000006,Wrexham,"13,179","5,690",1,2,"1,433","2,329","1,925",460,61,"2,918",675,536,139,302,41,64,962,874,"1,723",506,85,"1,389",347,
E23000009,North Yorkshire ,,,,,"42,590","16,466",5,30,"5,953","6,350","4,128","1,624",216,"12,896","2,825","1,727","1,098","2,045",251,967,"3,288","3,520","5,188","1,742",360,"3,146",952,
E23000009,North Yorkshire,E22000371,City of York,E06000014,York,"12,160","4,496",1,4,"1,613","1,779","1,099",423,88,"4,130",676,419,257,531,120,653,"1,245",905,"1,301",484,88,942,208,
E23000009,North Yorkshire,E22000372,North Yorkshire,E07000163,Craven,"4,337","1,707",1,4,619,652,431,169,18,"1,251",306,187,120,216,19,45,292,373,555,179,39,315,105,
E23000009,North Yorkshire,E22000372,North Yorkshire,E07000164,Hambleton,"4,337","1,707",1,4,619,652,431,169,18,"1,251",306,187,120,216,19,45,292,373,555,179,39,315,105,
E23000009,North Yorkshire,E22000372,North Yorkshire,E07000165,Harrogate,"4,337","1,707",1,4,619,652,431,169,18,"1,251",306,187,120,216,19,45,292,373,555,179,39,315,105,
E23000009,North Yorkshire,E22000372,North Yorkshire,E07000166,Richmondshire,"4,337","1,707",1,4,619,652,431,169,18,"1,251",306,187,120,216,19,45,292,373,555,179,39,315,105,
E23000009,North Yorkshire,E22000372,North Yorkshire,E07000167,Ryedale,"4,337","1,707",1,4,619,652,431,169,18,"1,251",306,187,120,216,19,45,292,373,555,179,39,315,105,
E23000009,North Yorkshire,E22000372,North Yorkshire,E07000168,Scarborough,"4,337","1,707",1,4,619,652,431,169,18,"1,251",306,187,120,216,19,45,292,373,555,179,39,315,105,
E23000009,North Yorkshire,E22000372,North Yorkshire,E07000169,Selby,"4,337","1,707",1,4,619,652,431,169,18,"1,251",306,187,120,216,19,45,292,373,555,179,39,315,105,
E23000009,North Yorkshire,,Unassigned North Yorkshire,,,70,23,0,0,7,7,9,15,0,11,5,1,4,1,0,1,0,4,4,5,2,1,9,
E23000022,Northamptonshire,,,,,"62,419","25,967",11,10,"7,569","10,565","7,812","2,537",867,"17,868","3,954","2,324","1,630","5,082",290,735,"3,100","4,707","6,253","2,056",636,"4,602","1,633",
E23000022,Northamptonshire,E22000233,Corby,E07000150,Corby,"6,942","2,939",2,0,910,"1,167",860,229,119,"1,961",344,230,114,471,24,87,427,608,753,175,90,513,163,
E23000022,Northamptonshire,E22000357,Daventry and South Northamptonshire,E07000151,Daventry,"4,700","1,991",1,2,574,770,646,185,35,"1,444",361,174,187,524,12,12,88,448,450,81,32,337,147,
E23000022,Northamptonshire,E22000357,Daventry and South Northamptonshire,E07000155,South Northamptonshire,"4,700","1,991",1,2,574,770,646,185,35,"1,444",361,174,187,524,12,12,88,448,450,81,32,337,147,
E23000022,Northamptonshire,E22000235,East Northamptonshire,E07000152,East Northamptonshire,"5,175","2,129",2,0,555,815,757,225,67,"1,506",385,215,170,359,8,25,326,403,600,110,31,367,140,
E23000022,Northamptonshire,E22000236,Kettering,E07000153,Kettering,"8,628","3,716",2,1,"1,003","1,506","1,204",295,100,"2,380",538,345,193,644,32,94,476,596,851,271,92,690,233,
E23000022,Northamptonshire,E22000237,Northampton,E07000154,Northampton,"24,221","10,098",3,3,"3,031","4,315","2,746","1,081",351,"6,677","1,403",835,568,"1,940",154,414,"1,104","1,662","2,296","1,104",265,"1,772",577,
E23000022,Northamptonshire,,Unassigned Northamptonshire,,,172,83,0,0,8,18,57,13,0,25,2,1,1,7,0,0,0,16,2,4,3,8,34,
E23000022,Northamptonshire,E22000239,Wellingborough,E07000156,Wellingborough,"7,882","3,020",1,2,915,"1,205",897,325,161,"2,432",560,350,210,614,48,91,592,527,851,231,92,578,192,
E23000007,Northumbria,,,,,"136,995","46,512",11,16,"13,398","16,610","16,477","4,101",746,"39,314","6,954","4,827","2,127","7,411","1,132","1,759","9,719","12,339","19,841","3,364","1,106","18,335","3,676",
E23000007,Northumbria,E22000244,Gateshead,E08000037,Gateshead,"19,077","6,479",3,0,"1,874","2,306","2,296",579,103,"5,881","1,080",762,318,"1,360",125,173,"1,355","1,788","2,645",412,139,"2,318",521,
E23000007,Northumbria,E22000245,Newcastle upon Tyne,E08000021,Newcastle upon Tyne,"33,059","10,384",1,9,"3,343","3,825","3,206","1,053",254,"10,627","1,581","1,093",488,"1,716",598,783,"2,671","3,278","4,164","1,299",343,"4,227",708,
E23000007,Northumbria,E22000246,North Tyneside,E08000022,North Tyneside,"18,307","6,216",1,1,"1,620","2,237","2,357",525,90,"5,109",771,495,276,"1,127",105,228,"1,387","1,491","2,638",378,138,"2,755",458,
E23000007,Northumbria,E22000358,Northumberland,E06000057,Northumberland,"23,356","8,574",1,1,"2,326","3,054","3,192",733,70,"6,132","1,323",854,469,960,105,151,"1,595","1,998","3,354",455,164,"3,210",664,
E23000007,Northumbria,E22000247,South Tyneside,E08000023,South Tyneside,"13,597","5,141",1,0,"1,364","1,850","1,926",436,73,"3,039",504,377,127,531,53,129,668,"1,154","2,154",327,102,"1,905",420,
E23000007,Northumbria,E22000248,Sunderland,E08000024,Sunderland,"29,599","9,718",4,5,"2,871","3,338","3,500",775,156,"8,526","1,695","1,246",449,"1,717",146,295,"2,043","2,630","4,886",493,220,"3,920",905,
E23000007,Northumbria,,Unassigned Northumbria,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E23000019,Nottinghamshire,,,,,"96,585","32,213",13,19,"10,774","11,367","10,040","2,938","1,007","33,439","6,482","4,718","1,764","7,334","1,476","1,519","8,814","7,814","10,850","4,539","1,076","7,485","3,038",
E23000019,Nottinghamshire,E22000251,Ashfield,E07000170,Ashfield,"10,284","3,637",4,4,"1,230","1,214","1,185",286,95,"3,264",761,539,222,627,61,87,"1,004",724,"1,400",377,127,778,320,
E23000019,Nottinghamshire,E22000252,Bassetlaw,E07000171,Bassetlaw,"9,767","3,144",1,1,"1,187",949,"1,006",238,44,"3,743",787,553,234,"1,125",65,77,872,817,"1,246",252,70,725,305,
E23000019,Nottinghamshire,E22000255,Mansfield,E07000174,Mansfield,"10,130","3,745",1,2,"1,304","1,270","1,168",330,90,"2,905",589,434,155,570,117,87,752,790,"1,225",566,170,776,323,
E23000019,Nottinghamshire,E22000256,Newark and Sherwood,E07000175,Newark and Sherwood,"8,578","2,720",0,5,927,936,852,238,32,"3,271",626,416,210,802,48,113,"1,031",651,"1,144",166,71,624,312,
E23000019,Nottinghamshire,E22000257,Nottingham,E06000018,Nottingham,"38,110","12,520",4,4,"4,098","4,803","3,611","1,186",568,"12,785","2,218","1,645",573,"2,347","1,005",799,"3,309","3,107","3,668","2,500",479,"3,236","1,168",
E23000019,Nottinghamshire,E22000366,South Nottinghamshire,E07000172,Broxtowe,"5,945","1,946",1,1,628,662,654,191,55,"2,225",471,366,105,492,54,110,579,519,675,201,48,422,183,
